id,category,priority,platform,year,title,authors,journal,doi,arxiv,url,relation,novelty_risk,recommended_use,caveat
A02,適用・実証,高,SiV-,2014,"All-optical initialization, readout, and coherent preparation of single silicon-vacancy spins in diamond",L. J. Rogers et al.,"Physical Review Letters 113, 263602",10.1103/PhysRevLett.113.263602,,https://doi.org/10.1103/PhysRevLett.113.263602,単一SiV spinのall-optical coherent preparation。,SiV optical Lambdaの基礎実証は既知。,実用Lambda選定、branching、polarizationの照合。,高温merged limitとは異なる。
A03,適用・実証,高,SiV-,2025,Coherent population trapping and spin relaxation of a silicon vacancy center in diamond at millikelvin temperatures,Y. Wu et al.,"Physical Review B 111, 035421",10.1103/PhysRevB.111.035421,2409.14856,https://doi.org/10.1103/PhysRevB.111.035421,SiV CPTとspin relaxationをmKで精密評価。,低温SiV CPT予測だけでは競争力が弱い。,Liouvillianモデルとground-state decoherenceのbenchmark。,room-temperatureやmerged-manifoldの検証ではない。
A04,適用・予測候補,高,SnV-,2021,Quantum control of the tin-vacancy spin qubit in diamond,R. Debroux et al.,"Physical Review X 11, 041041",10.1103/PhysRevX.11.041041,,https://doi.org/10.1103/PhysRevX.11.041041,SnV spin qubitのcoherent controlと熱的robustness。,SnVを表に加えるだけでは不十分。,同じgroup-IV symmetryでもspin-Lambda/orbital-Lambdaを分けてkernel計算。,EIT/CPTの直接実証ではないため『予測照合』扱い。
A05,適用・最新実証,最重要,PbV-,2026,Coherent dark state formation of a lead-vacancy spin qubit in diamond,Y. Chen et al.,arXiv:2605.27841v2,,2605.27841,https://arxiv.org/abs/2605.27841,PbVでCPT dark stateを実証し、7.5 Kで長いspin lifetimeを報告。,group-IV goの実証例として最新かつ強い競争相手。,PbVへの適用、温度robustness、resolved spin-Lambdaとgeneral theoremの関係を検討。,2026年6月時点のpreprint。室温merged orbital-Lambdaの実証ではない。
A06,適用・実証,最重要,4H-SiC divacancy,2015,All-optical coherent population trapping with defect spin ensembles in silicon carbide,O. V. Zwier; D. O'Shea; A. R. Onur; C. H. van der Wal,"Scientific Reports 5, 10931",10.1038/srep10931,1411.1366,https://doi.org/10.1038/srep10931,SiC divacancy ensembleでCPTを実証。,SiCへの適用可能性は実験的に既知。,orientation selection、複数ground levels、ISCを含む適用試験。,basal-plane oriented subsetを選択しており、full-manifold averageとは異なる。
A07,適用・直接実証,最重要,SiC divacancy ensemble,2022,Electromagnetically induced transparency in inhomogeneously broadened divacancy defect ensembles in SiC,O. V. Zwier et al.,"Journal of Applied Physics 131, 094401",10.1063/5.0077112,2203.09869,https://doi.org/10.1063/5.0077112,不均一広がり・多ground levelsを持つSiCで高visibility EITを実証しLindbladモデルと比較。,『固体多準位・不均一広がりに適用可能』という主張の直接先行。,提案kernelの最優先外部benchmark。実験geometryを再現してKとcontrastを比較。,熱的complete-manifold mergingとstatic inhomogeneous broadeningを区別。
A08,適用・実証,高,Pr3+:Y2SiO5,2002,Observation of ultraslow and stored light pulses in a solid,A. V. Turukhin et al.,"Physical Review Letters 88, 023602",10.1103/PhysRevLett.88.023602,,https://doi.org/10.1103/PhysRevLett.88.023602,希土類結晶でultraslow/stored lightをEITにより実証。,希土類を単純なgo例とすることは妥当だが新規ではない。,empirical go anchor。結晶場/hyperfine sublevelsでp†cが非零となる条件を逆算。,低温・spectral preparationに依存。
A09,適用・実証,高,Pr3+:Y2SiO5,2005,Stopped light with storage times greater than one second using electromagnetically induced transparency in a solid,J. J. Longdell; E. Fraval; M. J. Sellars; N. B. Manson,"Physical Review Letters 95, 063601",10.1103/PhysRevLett.95.063601,quant-ph/0506233,https://doi.org/10.1103/PhysRevLett.95.063601,希土類固体EITで1秒超のstorage。,長寿命ground coherenceの重要性は確立済み。,geometry goとcoherence budgetが別条件であることを示す代表例。,thermal merged electronic manifoldの問題設定とは異なる。
A10,適用・実証,中,Pr3+:Y2SiO5,2013,Stopped light and image storage by electromagnetically induced transparency up to the regime of one minute,G. Heinze; C. Hubrich; T. Halfmann,"Physical Review Letters 111, 033601",10.1103/PhysRevLett.111.033601,,https://doi.org/10.1103/PhysRevLett.111.033601,EIT storageを1分領域へ拡張。,dark-state寿命の最適化自体は別の成熟分野。,Liouville-space decoherenceと実用性能の重要性を補強。,主にmemory protocolであり、材料no-go判定とは異なる。
A11,適用・実証,中,希土類結晶,2016,Stopped light at high storage efficiency in a crystal,D. Schraft et al.,"Physical Review Letters 116, 073602",10.1103/PhysRevLett.116.073602,,https://doi.org/10.1103/PhysRevLett.116.073602,希土類結晶で高効率EIT storage。,contrastだけでなくoptical depthと準備効率が必要。,observableをeta_geomだけに還元しないための実用benchmark。,ensemble preparationとpropagationを含む。
A12,適用・室温実証,最重要,結晶固体,2005,Coherent population trapping in a crystalline solid at room temperature,R. Kolesov,"Physical Review A 72, 051801(R)",10.1103/PhysRevA.72.051801,physics/0505051,https://doi.org/10.1103/PhysRevA.72.051801,室温結晶固体でCPTを報告。,『固体の室温dark-state interference』を一般に不可能とは言えない。,NV固有no-goと一般固体goを区別する最重要empirical anchor。,材料・遷移機構を全文確認し、提案分類へ正確に配置する必要。
A13,適用・実証,高,単一量子ドット,2008,Coherent population trapping of an electron spin in a single negatively charged quantum dot,X. Xu et al.,"Nature Physics 4, 692-695",10.1038/nphys1054,0805.2074,https://doi.org/10.1038/nphys1054,単一荷電量子ドットでelectron-spin CPTを実証。,quantum dotをgo候補に挙げるだけでは既知。,hole/electron spin mixing、trion manifold、偏光selection ruleでkernelを計算。,強いmagnetic-field geometryとresolved trion transitionに依存。
A14,適用・実証,中,n-GaAs donor spins,2005,Coherent population trapping of electron spins in a high-purity n-type GaAs semiconductor,K.-M. C. Fu; C. Santori; C. Stanley; M. C. Holland; Y. Yamamoto,"Physical Review Letters 95, 187405",10.1103/PhysRevLett.95.187405,,https://doi.org/10.1103/PhysRevLett.95.187405,半導体donor-bound electron spinsでCPTを実証。,半導体への一般適用は先行あり。,ensemble・inhomogeneous broadening下のkernel/contrast検証。,defect-localized solid emitterとは電子構造が異なる。
A15,適用・候補評価,中,hBN spin defects,2021,Room temperature coherent control of spin defects in hexagonal boron nitride,A. Gottscholl et al.,"Science Advances 7, eabf3630",10.1126/sciadv.abf3630,,https://doi.org/10.1126/sciadv.abf3630,hBN spin defectの室温coherent controlを実証。,室温spin coherenceはあるがEIT/CPT実証とは別。,hBNを候補から除外せず、まずoptical Lambdaとdipole tensorを同定する根拠。,直接のEIT evidenceではないため『適用候補』に限定。
A16,適用・候補評価,中,hBN optical emitters,2024,Probing the limits for coherent optical control of a mechanically decoupled defect center in hexagonal boron nitride,M. K. Koch; V. Bharadwaj; A. Kubanek,"Communications Materials 5, 240",10.1038/s43246-024-00686-y,,https://doi.org/10.1038/s43246-024-00686-y,hBN単一発光体のoptical coherence、spectral diffusion、temperature dependenceを評価。,hBNへの適用にはdefect identityとlevel schemeの不確実性が大きい。,Gamma_opt(T)と非Markov dephasingの候補入力。,2準位optical coherence研究でありEIT/CPTを直接示さない。
A17,適用・実証,高,donor-bound spins in semiconductor,2010,Electromagnetically induced transparency with an ensemble of donor-bound electron spins in a semiconductor,M. Sladkov et al.,"Physical Review B 82, 121308(R)",10.1103/PhysRevB.82.121308,,https://doi.org/10.1103/PhysRevB.82.121308,半導体donor-bound spin ensembleでEITを実証。,固体spin ensembleへのEIT適用は既知。,ensemble broadening、optical pumping、ground coherenceを含む外部benchmark。,材料対称性よりもensemble spectroscopyが主眼。
